word	sentiment	lexicon
crack	negative	nrc
cracked	negative	nrc
cracking	negative	nrc
cradle	positive	nrc
craft	positive	nrc
craftsman	positive	nrc
cramp	negative	nrc
cramped	negative	nrc
crank	negative	nrc
cranky	negative	nrc
crap	negative	nrc
crash	negative	nrc
crawl	negative	nrc
crazed	negative	nrc
crazy	negative	nrc
creaking	negative	nrc
cream	positive	nrc
create	positive	nrc
creative	positive	nrc
creature	negative	nrc
credence	positive	nrc
credential	positive	nrc
credibility	positive	nrc
credible	positive	nrc
credit	positive	nrc
creditable	positive	nrc
credited	positive	nrc
creep	negative	nrc
crescendo	positive	nrc
crime	negative	nrc
criminal	negative	nrc
criminality	negative	nrc
cringe	negative	nrc
cripple	negative	nrc
crippled	negative	nrc
crisis	negative	nrc
crisp	negative	nrc
critic	negative	nrc
criticism	negative	nrc
criticize	negative	nrc
critique	positive	nrc
crook	negative	nrc
cross	negative	nrc
crouching	negative	nrc
crowning	positive	nrc
crucial	positive	nrc
cruciate	negative	nrc
crucifixion	negative	nrc
crude	negative	nrc
cruel	negative	nrc
cruelly	negative	nrc
cruelty	negative	nrc
crumbling	negative	nrc
crunch	negative	nrc
crusade	negative	nrc
crushed	negative	nrc
crushing	negative	nrc
crusty	negative	nrc
cry	negative	nrc
crying	negative	nrc
crypt	negative	nrc
crystal	positive	nrc
cuckold	negative	nrc
cuckoo	negative	nrc
cuddle	positive	nrc
culinary	positive	nrc
cull	negative	nrc
culmination	positive	nrc
culpability	negative	nrc
culpable	negative	nrc
culprit	negative	nrc
cult	negative	nrc
cultivate	positive	nrc
cultivated	positive	nrc
cultivation	positive	nrc
culture	positive	nrc
cumbersome	negative	nrc
cunning	negative	nrc
cunning	positive	nrc
cupping	negative	nrc
cur	negative	nrc
curable	positive	nrc
curiosity	positive	nrc
curl	positive	nrc
curse	negative	nrc
cursed	negative	nrc
cursing	negative	nrc
cursory	negative	nrc
cushion	positive	nrc
customer	positive	nrc
cute	positive	nrc
cutter	negative	nrc
cutters	positive	nrc
cutthroat	negative	nrc
cutting	negative	nrc
cyanide	negative	nrc
cyclone	negative	nrc
cyst	negative	nrc
cytomegalovirus	negative	nrc
dabbling	negative	nrc
daemon	negative	nrc
daft	negative	nrc
dagger	negative	nrc
damage	negative	nrc
damages	negative	nrc
dame	positive	nrc
damn	negative	nrc
damnation	negative	nrc
damned	negative	nrc
damper	negative	nrc
dance	positive	nrc
dandruff	negative	nrc
dandy	negative	nrc
danger	negative	nrc
dangerous	negative	nrc
daring	positive	nrc
darken	negative	nrc
darkened	negative	nrc
darkness	negative	nrc
darling	positive	nrc
dashed	negative	nrc
dashing	positive	nrc
dastardly	negative	nrc
daughter	positive	nrc
dawn	positive	nrc
dazed	negative	nrc
deactivate	negative	nrc
deadlock	negative	nrc
deadly	negative	nrc
deaf	negative	nrc
deal	positive	nrc
dear	positive	nrc
death	negative	nrc
debacle	negative	nrc
debate	positive	nrc
debauchery	negative	nrc
debris	negative	nrc
debt	negative	nrc
debtor	negative	nrc
decay	negative	nrc
decayed	negative	nrc
deceased	negative	nrc
deceit	negative	nrc
deceitful	negative	nrc
deceive	negative	nrc
